crop_name,variety,nitrogen_req_kg_ha,phosphorus_req_kg_ha,potassium_req_kg_ha,ideal_ph_min,ideal_ph_max,organic_carbon_min,micronutrients_needed
Ragi,GPU-28,60,30,30,5.5,7.5,0.5,"Zinc,Iron"
Rice,MTU-1010,120,60,60,5.5,7.0,0.7,"Zinc,Iron,Boron"
Maize,DHM-117,150,75,60,6.0,7.5,0.8,"Zinc,Iron,Manganese"
Jowar,CSH-16,80,40,40,6.0,8.0,0.6,"Iron,Zinc"
Bajra,HHB-67,60,30,30,6.5,8.0,0.5,"Iron,Zinc"
Wheat,HD-2967,120,60,40,6.0,7.5,0.7,"Zinc,Iron,Manganese"
Sugarcane,Co-86032,200,100,150,6.0,7.5,1.0,"Iron,Manganese,Zinc"
Cotton,Bt-Cotton,120,60,60,5.8,8.0,0.8,"Boron,Zinc,Iron"
Groundnut,TMV-2,25,50,75,6.0,7.0,0.8,"Boron,Calcium,Sulfur"
Sunflower,MSFH-17,60,60,60,6.0,7.5,0.7,"Boron,Zinc"
Safflower,PBNS-12,60,30,30,6.5,7.5,0.6,"Boron,Zinc"
Sesamum,RT-127,40,40,40,6.0,7.0,0.7,"Zinc,Boron"
Castor,Aruna,60,30,30,6.0,7.5,0.6,"Boron,Zinc"
Redgram,ICPL-87119,25,50,50,6.5,7.5,0.8,"Boron,Molybdenum"
Bengalgram,JG-11,25,50,50,6.0,7.5,0.7,"Boron,Molybdenum"
Blackgram,T-9,25,50,50,6.0,7.0,0.8,"Boron,Molybdenum"
Greengram,ML-131,25,50,50,6.0,7.5,0.7,"Boron,Molybdenum"
Horsegram,PHG-9,25,50,50,6.0,7.5,0.6,"Boron,Molybdenum"
Fieldpea,Rachna,25,50,50,6.0,7.0,0.7,"Boron,Molybdenum"
Cowpea,V-16,25,50,50,5.5,7.0,0.7,"Boron,Molybdenum"
Coconut,West Coast Tall,100,50,140,5.5,7.0,1.2,"Boron,Zinc,Manganese"
Arecanut,Mangala,100,50,150,5.5,6.5,1.5,"Boron,Zinc,Iron"
Coffee,Arabica,120,60,120,6.0,6.5,2.0,"Boron,Zinc,Iron,Manganese"
Cardamom,Malabar,80,40,80,5.0,6.5,2.5,"Boron,Zinc,Iron"
Pepper,Panniyur-1,100,50,100,5.5,6.5,2.0,"Boron,Zinc,Iron"
Ginger,Rio-de-Janeiro,80,40,120,5.5,6.5,1.5,"Boron,Zinc"
Turmeric,Salem,60,30,90,5.5,7.0,1.0,"Boron,Zinc,Iron"
Onion,Agrifound Dark Red,150,75,100,6.0,7.0,1.0,"Boron,Sulfur,Zinc"
Potato,Kufri Jyoti,180,80,150,5.0,6.5,1.2,"Boron,Zinc,Iron"
Tomato,Arka Rakshak,200,100,200,6.0,7.0,1.0,"Boron,Calcium,Magnesium"
Chilli,Arka Lohit,150,75,100,6.0,7.0,1.0,"Boron,Calcium,Magnesium"
Brinjal,Arka Shirish,150,75,150,6.0,7.0,1.0,"Boron,Calcium,Magnesium"
Okra,Arka Anamika,100,50,100,6.0,7.5,0.8,"Boron,Zinc"
Cucumber,Arka Sheetal,120,60,120,6.0,7.0,1.0,"Boron,Calcium,Magnesium"
Bitter Gourd,Arka Harit,100,50,100,6.0,7.0,1.0,"Boron,Iron,Zinc"
Bottle Gourd,Arka Bahar,80,40,80,6.0,7.0,0.8,"Boron,Calcium"
Pumpkin,Arka Suryamukhi,100,50,120,6.0,7.0,1.0,"Boron,Zinc"
Watermelon,Arka Manik,100,50,150,6.0,7.0,0.8,"Boron,Calcium"
Muskmelon,Arka Jeet,80,40,100,6.5,7.5,0.8,"Boron,Calcium"
Papaya,Red Lady,200,100,300,6.0,7.0,1.5,"Boron,Zinc,Iron"
Banana,Grand Naine,200,100,600,6.0,7.5,1.5,"Boron,Zinc,Magnesium"
Mango,Alphonso,180,90,200,6.0,7.5,1.2,"Boron,Zinc,Iron"
Sapota,Cricket Ball,120,60,150,6.0,7.5,1.0,"Boron,Zinc,Iron"
Guava,Sardar,150,75,200,6.0,7.5,1.0,"Boron,Zinc,Iron"
Pomegranate,Ganesh,120,60,150,6.5,7.5,1.0,"Boron,Zinc,Iron"
Grapes,Thompson Seedless,120,60,200,6.0,7.0,1.2,"Boron,Zinc,Iron"
Citrus,Nagpur Santra,150,75,200,6.0,7.0,1.2,"Boron,Zinc,Iron,Manganese"
Cashew,Ullal-3,80,40,80,5.5,6.5,1.5,"Boron,Zinc,Iron"
Jackfruit,Singapore,100,50,150,6.0,7.0,1.5,"Boron,Zinc,Iron"
Custard Apple,Arka Sahan,80,40,100,6.0,7.5,1.0,"Boron,Zinc"
Fig,Poona,100,50,150,6.0,7.5,1.2,"Boron,Zinc,Iron"
