crop_name,soil_type,n_level,p_level,k_level,urea_kg_ha,dap_kg_ha,mop_kg_ha,npk_complex,application_timing,split_application
Ragi,Red soil,Low,Low,Medium,130,65,25,0,"Basal and 30 days",2
Rice,Clayey,Medium,Low,Medium,150,110,40,0,"Basal,Tillering,Panicle",3
Maize,Red soil,Medium,Medium,Medium,120,75,35,0,"Basal and 45 days",2

Maize,Black soil,Medium,Medium,Medium,110,80,30,0,"Basal and 45 days",2
Maize,Clayey,High,Medium,Medium,140,85,40,0,"Basal,30 days,60 days",3
Jowar,Red soil,Low,Medium,Medium,100,70,30,0,"Basal and 40 days",2
Jowar,Black soil,Medium,Medium,High,120,75,45,0,"Basal and 40 days",2
Bajra,Sandy,Low,Low,Low,80,50,20,0,"Basal and 35 days",2
Bajra,Red soil,Medium,Low,Medium,100,60,25,0,"Basal and 35 days",2
Wheat,Clayey,Medium,Low,Medium,140,100,30,0,"Basal,Tillering,Grain filling",3
Wheat,Loamy,High,Medium,Medium,160,120,40,0,"Basal,Tillering,Grain filling",3
Wheat,Black soil,Medium,Medium,High,130,110,50,0,"Basal,Tillering,Grain filling",3
Barley,Clayey,Medium,Low,Medium,120,90,25,0,"Basal,Tillering,Grain filling",3
Barley,Loamy,High,Medium,Medium,140,110,35,0,"Basal,Tillering,Grain filling",3
Barley,Sandy,Low,Low,Low,100,70,20,0,"Basal and Tillering",2
Oats,Clayey,Medium,Medium,Medium,110,85,30,0,"Basal and Tillering",2
Oats,Loamy,High,Medium,Medium,130,105,40,0,"Basal and Tillering",2
Oats,Sandy,Low,Low,Medium,90,65,25,0,"Basal only",1
Sugarcane,Red soil,High,High,High,200,150,100,0,"Basal,60 days,120 days,180 days",4
Sugarcane,Black soil,High,High,High,220,160,110,0,"Basal,60 days,120 days,180 days",4
Cotton,Black soil,High,Medium,High,180,90,60,0,"Basal,Squaring,Flowering",3
Cotton,Red soil,High,Medium,High,170,85,55,0,"Basal,Squaring,Flowering",3
Cotton,Clayey,Medium,Medium,High,160,80,65,0,"Basal,Squaring,Flowering",3
Jute,Clayey,High,Medium,Medium,150,100,50,0,"Basal,30 days,60 days",3
Jute,Alluvial,High,High,Medium,180,120,60,0,"Basal,30 days,60 days",3
Jute,Loamy,Medium,Medium,Medium,140,90,45,0,"Basal and 45 days",2
Flax,Clayey,Medium,Medium,Low,120,80,30,0,"Basal and 40 days",2
Flax,Loamy,High,Medium,Medium,140,100,40,0,"Basal and 40 days",2
Hemp,Red soil,Medium,Low,Medium,110,70,35,0,"Basal and 45 days",2
Hemp,Black soil,High,Medium,High,130,90,50,0,"Basal and 45 days",2
Groundnut,Red soil,Low,Medium,Medium,25,125,50,0,"Basal only",1
Groundnut,Sandy,Low,Medium,Medium,30,130,45,0,"Basal only",1
Groundnut,Black soil,Low,High,Medium,20,140,55,0,"Basal only",1
Soybean,Black soil,Low,High,High,30,140,60,0,"Basal only",1
Soybean,Red soil,Low,Medium,Medium,35,130,55,0,"Basal only",1
Soybean,Clayey,Low,High,Medium,25,145,50,0,"Basal only",1
Mustard,Clayey,Medium,Medium,Medium,100,80,40,0,"Basal and 45 days",2
Mustard,Loamy,High,Medium,High,120,95,50,0,"Basal and 45 days",2
Mustard,Black soil,Medium,High,High,110,90,55,0,"Basal and 45 days",2
Rapeseed,Clayey,Medium,Medium,Medium,90,75,35,0,"Basal and 40 days",2
Rapeseed,Loamy,High,High,Medium,110,95,45,0,"Basal and 40 days",2
Linseed,Black soil,Medium,Medium,Low,80,70,25,0,"Basal and 45 days",2
Linseed,Red soil,Medium,Low,Medium,85,65,30,0,"Basal and 45 days",2
Sunflower,Red soil,Medium,Medium,High,80,100,60,0,"Basal and Flowering",2
Sunflower,Black soil,Medium,High,High,75,110,65,0,"Basal and Flowering",2
Safflower,Black soil,Low,Medium,Medium,60,90,40,0,"Basal and Flowering",2
Safflower,Red soil,Medium,Medium,Medium,70,95,45,0,"Basal and Flowering",2
Sesamum,Red soil,Low,Medium,Low,50,80,30,0,"Basal and 30 days",2
Sesamum,Black soil,Medium,Medium,Medium,60,85,35,0,"Basal and 30 days",2
Sesamum,Sandy,Low,Low,Low,45,70,25,0,"Basal and 30 days",2
Sesamum,Clayey,Medium,Medium,Medium,65,90,40,0,"Basal and 30 days",2
Castor,Red soil,Medium,Medium,High,80,70,50,0,"Basal and 60 days",2
Castor,Black soil,High,Medium,High,90,75,55,0,"Basal and 60 days",2
Castor,Sandy,Low,Low,Medium,70,60,40,0,"Basal and 60 days",2
Castor,Clayey,Medium,High,High,85,80,60,0,"Basal and 60 days",2
Redgram,Red soil,Low,Medium,Medium,25,100,50,0,"Basal only",1
Redgram,Black soil,Low,High,Medium,20,110,55,0,"Basal only",1
Redgram,Sandy,Low,Low,Medium,30,90,45,0,"Basal only",1
Redgram,Clayey,Low,Medium,High,25,105,60,0,"Basal only",1
Bengalgram,Black soil,Low,Medium,Low,15,90,40,0,"Basal only",1
Bengalgram,Red soil,Low,Medium,Medium,20,95,45,0,"Basal only",1
Bengalgram,Sandy,Low,Low,Low,25,80,35,0,"Basal only",1
Bengalgram,Clayey,Low,Medium,Medium,18,100,50,0,"Basal only",1
Blackgram,Red soil,Low,Medium,Low,20,80,35,0,"Basal only",1
Blackgram,Clayey,Low,Medium,Medium,25,85,40,0,"Basal only",1
Blackgram,Sandy,Low,Low,Low,15,75,30,0,"Basal only",1
Blackgram,Black soil,Low,Medium,Medium,22,90,45,0,"Basal only",1
Greengram,Red soil,Low,Medium,Low,15,75,30,0,"Basal only",1
Greengram,Sandy,Low,Low,Low,20,70,25,0,"Basal only",1
Greengram,Black soil,Low,Medium,Medium,18,85,40,0,"Basal only",1
Greengram,Clayey,Low,Medium,Medium,22,80,35,0,"Basal only",1
Horsegram,Red soil,Low,Low,Low,15,60,25,0,"Basal only",1
Horsegram,Sandy,Low,Low,Low,10,55,20,0,"Basal only",1
Horsegram,Black soil,Low,Low,Medium,18,65,30,0,"Basal only",1
Horsegram,Clayey,Low,Medium,Medium,20,70,35,0,"Basal only",1
Fieldpea,Clayey,Low,Medium,Medium,25,90,40,0,"Basal only",1
Fieldpea,Loamy,Low,Medium,Medium,30,95,45,0,"Basal only",1
Fieldpea,Red soil,Low,Medium,Low,20,85,35,0,"Basal only",1
Fieldpea,Sandy,Low,Low,Medium,28,80,40,0,"Basal only",1
Cowpea,Red soil,Low,Medium,Low,20,80,30,0,"Basal only",1
Cowpea,Sandy,Low,Low,Low,15,75,25,0,"Basal only",1
Cowpea,Black soil,Low,Medium,Medium,18,85,35,0,"Basal only",1
Cowpea,Clayey,Low,Medium,Medium,25,90,40,0,"Basal only",1
Rice,Clayey,Medium,Low,Medium,150,110,40,0,"Basal,Tillering,Panicle",3
Rice,Alluvial,High,Medium,High,170,130,60,0,"Basal,Tillering,Panicle",3
Rice,Sandy,Low,Low,Low,120,90,30,0,"Basal,Tillering,Panicle",3
Rice,Black soil,Medium,Medium,Medium,160,120,50,0,"Basal,Tillering,Panicle",3
Ragi,Red soil,Low,Low,Medium,130,65,25,0,"Basal and 30 days",2
Ragi,Sandy,Low,Low,Low,110,55,20,0,"Basal and 30 days",2
Ragi,Black soil,Medium,Medium,Medium,140,75,35,0,"Basal and 30 days",2
Ragi,Clayey,Medium,Low,Medium,135,70,30,0,"Basal and 30 days",2
Coconut,Sandy,Medium,Medium,High,500,200,750,0,"Split application throughout year",4
Coconut,Red soil,Medium,Medium,High,450,180,700,0,"Split application throughout year",4
Coconut,Clayey,High,Medium,High,520,220,800,0,"Split application throughout year",4
Coconut,Alluvial,Medium,High,High,480,210,780,0,"Split application throughout year",4
Arecanut,Red soil,Medium,Medium,High,400,150,600,0,"Split application throughout year",4
Arecanut,Clayey,Medium,High,High,420,170,650,0,"Split application throughout year",4
Arecanut,Sandy,Low,Medium,Medium,380,140,550,0,"Split application throughout year",4
Arecanut,Loamy,Medium,Medium,High,410,160,620,0,"Split application throughout year",4
Coffee,Red soil,Medium,Medium,High,300,120,400,0,"Split application throughout year",3
Coffee,Clayey,High,Medium,High,350,140,450,0,"Split application throughout year",3
Coffee,Loamy,Medium,High,High,320,130,420,0,"Split application throughout year",3
Coffee,Sandy,Low,Low,Medium,280,100,350,0,"Split application throughout year",3
Cardamom,Red soil,High,Medium,High,200,100,300,0,"Split application throughout year",3
Cardamom,Loamy,High,High,High,220,120,350,0,"Split application throughout year",3
Cardamom,Clayey,High,High,High,240,140,380,0,"Split application throughout year",3
Cardamom,Sandy,Medium,Medium,Medium,180,90,280,0,"Split application throughout year",3
Pepper,Red soil,High,Medium,High,250,150,400,0,"Split application throughout year",3
Pepper,Clayey,High,High,High,280,170,450,0,"Split application throughout year",3
Pepper,Loamy,High,Medium,High,260,160,420,0,"Split application throughout year",3
Pepper,Sandy,Medium,Low,Medium,220,130,350,0,"Split application throughout year",3
Ginger,Red soil,High,High,High,150,120,100,0,"Basal,60 days,120 days",3
Ginger,Loamy,High,High,High,170,140,120,0,"Basal,60 days,120 days",3
Ginger,Clayey,High,High,High,180,150,130,0,"Basal,60 days,120 days",3
Ginger,Sandy,Medium,Medium,Medium,140,110,90,0,"Basal,60 days,120 days",3
Turmeric,Red soil,High,High,Medium,140,110,80,0,"Basal,60 days,120 days",3
Turmeric,Clayey,High,High,High,160,130,100,0,"Basal,60 days,120 days",3
Turmeric,Loamy,High,High,High,155,125,95,0,"Basal,60 days,120 days",3
Turmeric,Sandy,Medium,Medium,Medium,130,100,70,0,"Basal,60 days,120 days",3
Onion,Red soil,High,Medium,High,150,100,80,0,"Basal,30 days,60 days",3
Onion,Black soil,High,High,High,170,120,100,0,"Basal,30 days,60 days",3
